div,name,price,virev,blgrev,addr1,addr2,attr,rating,review_name,review_cnt,,,,,,,,,,,,
캠핑,어반슬로우시티글램핑카라반수상레저,169000,554,237,강원,춘천시,"카라반, 글램핑, 오토캠핑, 데크, 수영장, 워터슬라이드, 바비큐장, 반려동물, 독채, 신축, 모던, 자연학습, 잔디, 투어, 개별바비큐, 계곡, 워터파크, 수상레저",4.64,온수가 잘 나와요,69,,,,,,,,,,,,
캠핑,어반슬로우시티글램핑카라반수상레저,169000,554,237,강원,춘천시,"카라반, 글램핑, 오토캠핑, 데크, 수영장, 워터슬라이드, 바비큐장, 반려동물, 독채, 신축, 모던, 자연학습, 잔디, 투어, 개별바비큐, 계곡, 워터파크, 수상레저",4.64,공용시설 관리가 잘돼요,60,,,,,,,,,,,,
캠핑,유니레저경주지점,,,,경북,경주시,,,,,,,,,,,,,,,,
캠핑,914해변캠핑장,,1,,전북,고창군,,,,,,,,,,,,,,,,
캠핑,DMZ마루캠핑,,45,,경기,연천군,"주차, 예약, 남/녀 화장실 구분",,,,,,,,,,,,,,,
캠핑,F1오토캠핑장,,1,10,전남,영암군,,,,,,,,,,,,,,,,
캠핑,JB캠핑하우스,,8,83,경기,파주시,"파쇄석, 독채, 2인실, 가족실, 글램핑, 카라반, 온돌방, 오토캠핑",,,,,,,,,,,,,,,
캠핑,J캠핑장,55000,95,36,강원,홍천군,"주차, 배달, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",4.62,깨끗해요,10,,,,,,,,,,,,
캠핑,J캠핑장,55000,95,36,강원,홍천군,"주차, 배달, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",4.62,조용히 쉬기 좋아요,9,,,,,,,,,,,,
캠핑,J캠핑장,55000,95,36,강원,홍천군,"주차, 배달, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",4.62,온수가 잘 나와요,9,,,,,,,,,,,,
캠핑,J캠핑장,55000,95,36,강원,홍천군,"주차, 배달, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",4.62,화장실이 잘 되어있어요,8,,,,,,,,,,,,
캠핑,J캠핑장,55000,95,36,강원,홍천군,"주차, 배달, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",4.62,개수대가 잘 되어있어요,6,,,,,,,,,,,,
캠핑,OK가족캠핑장,,24,,전남,영광군,"주차, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",,,,,,,,,,,,,,,
캠핑,Thestar오토캠핑장,107500,"1,127",171,전남,여수시,"오토캠핑, 카라반, 데크, 바닷가, 와이파이",,뷰가 좋아요,152,,,,,,,,,,,,
캠핑,Thestar오토캠핑장,107500,"1,127",171,전남,여수시,"오토캠핑, 카라반, 데크, 바닷가, 와이파이",,화장실이 잘 되어있어요,79,,,,,,,,,,,,
캠핑,Thestar오토캠핑장,107500,"1,127",171,전남,여수시,"오토캠핑, 카라반, 데크, 바닷가, 와이파이",,깨끗해요,75,,,,,,,,,,,,
캠핑,Thestar오토캠핑장,107500,"1,127",171,전남,여수시,"오토캠핑, 카라반, 데크, 바닷가, 와이파이",,개수대가 잘 되어있어요,66,,,,,,,,,,,,
캠핑,Thestar오토캠핑장,107500,"1,127",171,전남,여수시,"오토캠핑, 카라반, 데크, 바닷가, 와이파이",,조용히 쉬기 좋아요,59,,,,,,,,,,,,
캠핑,럭셔리글램핑W풀빌라,252333,"1,944",462,경남,산청군,"글램핑, 개별바비큐, 조식제공, 반려동물, 와이파이, 바비큐장, 잔디, 계곡, 수상레저, 픽업, 수영장, 풀빌라, 2인실, 가족실, 복층, 카라반, 신축, 문화유적, 체험활동, 투어, 공용시설, 족구장, 자연학습, 파티, 파쇄석, 독채, 침대방",4.81,바비큐 해먹기 좋아요 ,199,,,,,,,,,,,,
캠핑,럭셔리글램핑W풀빌라,252333,"1,944",462,경남,산청군,"글램핑, 개별바비큐, 조식제공, 반려동물, 와이파이, 바비큐장, 잔디, 계곡, 수상레저, 픽업, 수영장, 풀빌라, 2인실, 가족실, 복층, 카라반, 신축, 문화유적, 체험활동, 투어, 공용시설, 족구장, 자연학습, 파티, 파쇄석, 독채, 침대방",4.81,주차하기 편해요,179,,,,,,,,,,,,
캠핑,럭셔리글램핑W풀빌라,252333,"1,944",462,경남,산청군,"글램핑, 개별바비큐, 조식제공, 반려동물, 와이파이, 바비큐장, 잔디, 계곡, 수상레저, 픽업, 수영장, 풀빌라, 2인실, 가족실, 복층, 카라반, 신축, 문화유적, 체험활동, 투어, 공용시설, 족구장, 자연학습, 파티, 파쇄석, 독채, 침대방",4.81,사진이 잘 나와요,145,,,,,,,,,,,,
캠핑,럭셔리글램핑W풀빌라,252333,"1,944",462,경남,산청군,"글램핑, 개별바비큐, 조식제공, 반려동물, 와이파이, 바비큐장, 잔디, 계곡, 수상레저, 픽업, 수영장, 풀빌라, 2인실, 가족실, 복층, 카라반, 신축, 문화유적, 체험활동, 투어, 공용시설, 족구장, 자연학습, 파티, 파쇄석, 독채, 침대방",4.81,깨끗해요,134,,,,,,,,,,,,
캠핑,럭셔리글램핑W풀빌라,252333,"1,944",462,경남,산청군,"글램핑, 개별바비큐, 조식제공, 반려동물, 와이파이, 바비큐장, 잔디, 계곡, 수상레저, 픽업, 수영장, 풀빌라, 2인실, 가족실, 복층, 카라반, 신축, 문화유적, 체험활동, 투어, 공용시설, 족구장, 자연학습, 파티, 파쇄석, 독채, 침대방",4.81,온수가 잘 나와요,119,,,,,,,,,,,,
캠핑,yc글램핑,140000,209,44,경기,연천군,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.52,바비큐 해먹기 좋아요 ,14,,,,,,,,,,,,
캠핑,yc글램핑,140000,209,44,경기,연천군,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.52,화장실이 잘 되어있어요,11,,,,,,,,,,,,
캠핑,yc글램핑,140000,209,44,경기,연천군,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.52,온수가 잘 나와요,11,,,,,,,,,,,,
캠핑,yc글램핑,140000,209,44,경기,연천군,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.52,깨끗해요,9,,,,,,,,,,,,
캠핑,yc글램핑,140000,209,44,경기,연천군,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.52,조용히 쉬기 좋아요,9,,,,,,,,,,,,
캠핑,가고파캠핑장,,10,,경남,산청군,,,,,,,,,,,,,,,,
캠핑,가델관광농원,,19,,충남,아산시,"선착순입장, 오토캠핑",,,,,,,,,,,,,,,
캠핑,가래골농원캠핑장,,6,247,경기,포천시,주차,,,,,,,,,,,,,,,
캠핑,가로림글램핑,190000,11,17,충남,서산시,"스파, 온돌방, 독채, 침대방, 단체, 가족실, 수영장, 체험활동, 바비큐장, 와이파이, 신축, 족구장, 공용시설, 해수욕장, 갯벌, 바닷가, 개별바비큐",,,,,,,,,,,,,,,
캠핑,가리벨리캠핑장,,2,25,강원,인제군,"주차, 방문접수/출장, 예약",,,,,,,,,,,,,,,
캠핑,가리산자연휴양림야영장,,10,,강원,홍천군,주차,,,,,,,,,,,,,,,
캠핑,자건재,,13,,강원,정선군,,,,,,,,,,,,,,,,
캠핑,가마실오토캠핑장저수지낚시,50000,215,50,충북,제천시,,4.7,깨끗해요,62,,,,,,,,,,,,
캠핑,가마실오토캠핑장저수지낚시,50000,215,50,충북,제천시,,4.7,매너타임이 잘 지켜져요,59,,,,,,,,,,,,
캠핑,가마실오토캠핑장저수지낚시,50000,215,50,충북,제천시,,4.7,화장실이 잘 되어있어요,55,,,,,,,,,,,,
캠핑,가마실오토캠핑장저수지낚시,50000,215,50,충북,제천시,,4.7,개수대가 잘 되어있어요,47,,,,,,,,,,,,
캠핑,가마실오토캠핑장저수지낚시,50000,215,50,충북,제천시,,4.7,공용시설 관리가 잘돼요,45,,,,,,,,,,,,
캠핑,가반나야영장,,2,25,경남,남해군,,,,,,,,,,,,,,,,
캠핑,가산글램핑,138500,80,86,경북,칠곡군,"글램핑, 개별바비큐, 데크, 수영장, 바비큐장, 와이파이, 계곡",4.41,온수가 잘 나와요,22,,,,,,,,,,,,
캠핑,가산글램핑,138500,80,86,경북,칠곡군,"글램핑, 개별바비큐, 데크, 수영장, 바비큐장, 와이파이, 계곡",4.41,화장실이 잘 되어있어요,21,,,,,,,,,,,,
캠핑,가산글램핑,138500,80,86,경북,칠곡군,"글램핑, 개별바비큐, 데크, 수영장, 바비큐장, 와이파이, 계곡",4.41,바비큐 해먹기 좋아요 ,19,,,,,,,,,,,,
캠핑,가산글램핑,138500,80,86,경북,칠곡군,"글램핑, 개별바비큐, 데크, 수영장, 바비큐장, 와이파이, 계곡",4.41,깨끗해요,18,,,,,,,,,,,,
캠핑,가산글램핑,138500,80,86,경북,칠곡군,"글램핑, 개별바비큐, 데크, 수영장, 바비큐장, 와이파이, 계곡",4.41,주차하기 편해요,15,,,,,,,,,,,,
캠핑,가산산성마을캠핑장,,4,,경북,칠곡군,,,,,,,,,,,,,,,,
캠핑,가야권역소리마실영농조합법인,,8,34,경남,합천군,"주차, 포장, 남/녀 화장실 구분, 국민지원금",,,,,,,,,,,,,,,
캠핑,가야랜드달빛야영장,,47,241,경남,김해시,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.41,,,,,,,,,,,,,,
캠핑,가온누리캠핑체험장,,51,,경북,경주시,"포장, 국민지원금",,,,,,,,,,,,,,,
캠핑,가온오토캠핑장,,20,,경북,포항시,"오토캠핑, 데크, 계곡, 가족실, 파쇄석",,,,,,,,,,,,,,,
캠핑,가은해솔캠핑장,,1,5,경북,문경시,"주차, 예약, 남/녀 화장실 구분",,,,,,,,,,,,,,,
캠핑,가족소풍캠핑장,,3,24,전남,담양군,"주차, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",,,,,,,,,,,,,,,
캠핑,가평글램핑사그막끝마을,291750,55,21,경기,가평군,"오토캠핑, 글램핑, 와이파이, 체험활동, 공용시설, 바비큐장, 데크, 개별바비큐, 파쇄석, 카라반, 스파, 독채, 침대방, 온돌방, 계곡, 스키장, 수상레저",,깨끗해요,38,,,,,,,,,,,,
캠핑,가평글램핑사그막끝마을,291750,55,21,경기,가평군,"오토캠핑, 글램핑, 와이파이, 체험활동, 공용시설, 바비큐장, 데크, 개별바비큐, 파쇄석, 카라반, 스파, 독채, 침대방, 온돌방, 계곡, 스키장, 수상레저",,조용히 쉬기 좋아요,34,,,,,,,,,,,,
캠핑,가평글램핑사그막끝마을,291750,55,21,경기,가평군,"오토캠핑, 글램핑, 와이파이, 체험활동, 공용시설, 바비큐장, 데크, 개별바비큐, 파쇄석, 카라반, 스파, 독채, 침대방, 온돌방, 계곡, 스키장, 수상레저",,온수가 잘 나와요,25,,,,,,,,,,,,
캠핑,가평글램핑사그막끝마을,291750,55,21,경기,가평군,"오토캠핑, 글램핑, 와이파이, 체험활동, 공용시설, 바비큐장, 데크, 개별바비큐, 파쇄석, 카라반, 스파, 독채, 침대방, 온돌방, 계곡, 스키장, 수상레저",,바비큐 해먹기 좋아요 ,22,,,,,,,,,,,,
캠핑,가평글램핑사그막끝마을,291750,55,21,경기,가평군,"오토캠핑, 글램핑, 와이파이, 체험활동, 공용시설, 바비큐장, 데크, 개별바비큐, 파쇄석, 카라반, 스파, 독채, 침대방, 온돌방, 계곡, 스키장, 수상레저",,사진이 잘 나와요,18,,,,,,,,,,,,
캠핑,리오카라반,,56,28,경기,가평군,"글램핑, 카라반, 오토캠핑, 침대방, 단체, 2인실, 가족실, 수영장, 바비큐장, 와이파이, 공용시설, 체험활동, 키즈테마, 신축, 잔디",,,,,,,,,,,,,,,
캠핑,가평물골숲계곡오토캠핑장,52500,406,69,경기,가평군,"포장, 국민지원금",4.58,깨끗해요,59,,,,,,,,,,,,
캠핑,가평물골숲계곡오토캠핑장,52500,406,69,경기,가평군,"포장, 국민지원금",4.58,조용히 쉬기 좋아요,55,,,,,,,,,,,,
캠핑,가평물골숲계곡오토캠핑장,52500,406,69,경기,가평군,"포장, 국민지원금",4.58,온수가 잘 나와요,47,,,,,,,,,,,,
캠핑,가평물골숲계곡오토캠핑장,52500,406,69,경기,가평군,"포장, 국민지원금",4.58,매너타임이 잘 지켜져요,45,,,,,,,,,,,,
캠핑,가평물골숲계곡오토캠핑장,52500,406,69,경기,가평군,"포장, 국민지원금",4.58,화장실이 잘 되어있어요,43,,,,,,,,,,,,
캠핑,가평사과나무캠핑장,67500,67,53,경기,가평군,"주차, 예약, 남/녀 화장실 구분",4.5,,,,,,,,,,,,,,
캠핑,운악홀리데이카라반캠핑장,112000,27,4,경기,가평군,"개별바비큐, 카라반, 독채, 글램핑, 2인실, 가족실, 데크, 침대방, 바비큐장, 와이파이, 공용시설, 모던, 잔디, 계곡, 반려동물, 족구장, 오토캠핑",2.94,,,,,,,,,,,,,,
캠핑,가평무릉도원캠핑장,70000,116,,경기,가평군,"오토캠핑, 데크, 파쇄석, 와이파이, 공용시설, 계곡",,,,,,,,,,,,,,,
캠핑,가평사계절캠핑장,,1,50,경기,가평군,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",,,,,,,,,,,,,,,
캠핑,가평설악하늘계곡캠핑장,42000,504,68,경기,가평군,"오토캠핑, 계곡, 파쇄석",4.31,깨끗해요,55,,,,,,,,,,,,
캠핑,가평설악하늘계곡캠핑장,42000,504,68,경기,가평군,"오토캠핑, 계곡, 파쇄석",4.31,온수가 잘 나와요,54,,,,,,,,,,,,
캠핑,가평설악하늘계곡캠핑장,42000,504,68,경기,가평군,"오토캠핑, 계곡, 파쇄석",4.31,화장실이 잘 되어있어요,50,,,,,,,,,,,,
캠핑,가평설악하늘계곡캠핑장,42000,504,68,경기,가평군,"오토캠핑, 계곡, 파쇄석",4.31,주차하기 편해요,49,,,,,,,,,,,,
캠핑,가평설악하늘계곡캠핑장,42000,504,68,경기,가평군,"오토캠핑, 계곡, 파쇄석",4.31,개수대가 잘 되어있어요,48,,,,,,,,,,,,
캠핑,가평썬캠핑,,1,19,경기,가평군,,,,,,,,,,,,,,,,
캠핑,조이글램핑,200250,12,29,경기,가평군,"키즈테마, 개별바비큐, 글램핑, 수영장, 침대방, 계곡, 가족실",,,,,,,,,,,,,,,
캠핑,가평카라반캠핑농원,189000,361,50,경기,가평군,"수영장, 개별바비큐, 와이파이, 카라반, 침대방, 가족실, 2인실, 단체, 바비큐장, 모던, 잔디, 자연학습, 계곡",4.65,깨끗해요,22,,,,,,,,,,,,
캠핑,가평카라반캠핑농원,189000,361,50,경기,가평군,"수영장, 개별바비큐, 와이파이, 카라반, 침대방, 가족실, 2인실, 단체, 바비큐장, 모던, 잔디, 자연학습, 계곡",4.65,조용히 쉬기 좋아요,19,,,,,,,,,,,,
캠핑,가평카라반캠핑농원,189000,361,50,경기,가평군,"수영장, 개별바비큐, 와이파이, 카라반, 침대방, 가족실, 2인실, 단체, 바비큐장, 모던, 잔디, 자연학습, 계곡",4.65,주차하기 편해요,18,,,,,,,,,,,,
캠핑,가평카라반캠핑농원,189000,361,50,경기,가평군,"수영장, 개별바비큐, 와이파이, 카라반, 침대방, 가족실, 2인실, 단체, 바비큐장, 모던, 잔디, 자연학습, 계곡",4.65,바비큐 해먹기 좋아요 ,13,,,,,,,,,,,,
캠핑,가평카라반캠핑농원,189000,361,50,경기,가평군,"수영장, 개별바비큐, 와이파이, 카라반, 침대방, 가족실, 2인실, 단체, 바비큐장, 모던, 잔디, 자연학습, 계곡",4.65,온수가 잘 나와요,12,,,,,,,,,,,,
캠핑,포레스트카라반랜드럭셔리수영장,294000,83,25,경기,가평군,,4.42,,,,,,,,,,,,,,
캠핑,각흘계곡캠핑장,62500,"1,535",142,경기,포천시,"오토캠핑, 데크, 파쇄석, 계곡, 방갈로",4.53,온수가 잘 나와요,120,,,,,,,,,,,,
캠핑,각흘계곡캠핑장,62500,"1,535",142,경기,포천시,"오토캠핑, 데크, 파쇄석, 계곡, 방갈로",4.53,화장실이 잘 되어있어요,85,,,,,,,,,,,,
캠핑,각흘계곡캠핑장,62500,"1,535",142,경기,포천시,"오토캠핑, 데크, 파쇄석, 계곡, 방갈로",4.53,깨끗해요,79,,,,,,,,,,,,
캠핑,각흘계곡캠핑장,62500,"1,535",142,경기,포천시,"오토캠핑, 데크, 파쇄석, 계곡, 방갈로",4.53,조용히 쉬기 좋아요,77,,,,,,,,,,,,
캠핑,각흘계곡캠핑장,62500,"1,535",142,경기,포천시,"오토캠핑, 데크, 파쇄석, 계곡, 방갈로",4.53,개수대가 잘 되어있어요,66,,,,,,,,,,,,
캠핑,갈기산펜션캠핑장,,5,41,경기,양평군,"주차, 예약, 남/녀 화장실 구분",,,,,,,,,,,,,,,
캠핑,갈론계곡캠핑장,,29,41,충북,괴산군,"바비큐장, 수영장, 족구장, 와이파이, 공용시설, 체험활동, 모던, 자연학습, 계곡, 워터파크, 오토캠핑, 글램핑, 개별바비큐, 파쇄석",4.52,,,,,,,,,,,,,,
캠핑,갈릴리야영장,,5,119,경기,평택시,"포장, 국민지원금",,,,,,,,,,,,,,,
캠핑,갈천힐링캠프,,,,강원,양양군,"데크 일박50,000원",,,,,,,,,,,,,,,
캠핑,강나루야영장,,207,46,경기,파주시,"포장, 국민지원금",4.78,깨끗해요,43,,,,,,,,,,,,
캠핑,강나루야영장,,207,46,경기,파주시,"포장, 국민지원금",4.78,화장실이 잘 되어있어요,43,,,,,,,,,,,,
캠핑,강나루야영장,,207,46,경기,파주시,"포장, 국민지원금",4.78,조용히 쉬기 좋아요,36,,,,,,,,,,,,
캠핑,강나루야영장,,207,46,경기,파주시,"포장, 국민지원금",4.78,개수대가 잘 되어있어요,32,,,,,,,,,,,,
캠핑,강나루야영장,,207,46,경기,파주시,"포장, 국민지원금",4.78,공용시설 관리가 잘돼요,31,,,,,,,,,,,,
캠핑,강당골캠핑파크,,31,,충남,아산시,예약,,,,,,,,,,,,,,,
캠핑,강동그린웨이가족캠핑장,,36,512,서울,강동구,"주차, 포장, 예약, 국민지원금",4.71,깨끗해요,14,,,,,,,,,,,,
캠핑,강동그린웨이가족캠핑장,,36,512,서울,강동구,"주차, 포장, 예약, 국민지원금",4.71,화장실이 잘 되어있어요,11,,,,,,,,,,,,
캠핑,강동그린웨이가족캠핑장,,36,512,서울,강동구,"주차, 포장, 예약, 국민지원금",4.71,개수대가 잘 되어있어요,10,,,,,,,,,,,,
캠핑,강동그린웨이가족캠핑장,,36,512,서울,강동구,"주차, 포장, 예약, 국민지원금",4.71,조용히 쉬기 좋아요,8,,,,,,,,,,,,
캠핑,강동그린웨이가족캠핑장,,36,512,서울,강동구,"주차, 포장, 예약, 국민지원금",4.71,그늘이 많아요,7,,,,,,,,,,,,
캠핑,강릉금진리321카라반,137500,112,7,강원,강릉시,무선 인터넷,4.82,깨끗해요,31,,,,,,,,,,,,
캠핑,강릉금진리321카라반,137500,112,7,강원,강릉시,무선 인터넷,4.82,조용히 쉬기 좋아요,31,,,,,,,,,,,,
캠핑,강릉금진리321카라반,137500,112,7,강원,강릉시,무선 인터넷,4.82,온수가 잘 나와요,24,,,,,,,,,,,,
캠핑,강릉금진리321카라반,137500,112,7,강원,강릉시,무선 인터넷,4.82,바비큐 해먹기 좋아요 ,18,,,,,,,,,,,,
캠핑,강릉금진리321카라반,137500,112,7,강원,강릉시,무선 인터넷,4.82,주차하기 편해요,15,,,,,,,,,,,,
캠핑,강릉노추산힐링캠프,51250,"1,154",132,강원,강릉시,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.71,조용히 쉬기 좋아요,115,,,,,,,,,,,,
캠핑,강릉노추산힐링캠프,51250,"1,154",132,강원,강릉시,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.71,그늘이 많아요,102,,,,,,,,,,,,
캠핑,강릉노추산힐링캠프,51250,"1,154",132,강원,강릉시,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.71,매너타임이 잘 지켜져요,93,,,,,,,,,,,,
캠핑,강릉노추산힐링캠프,51250,"1,154",132,강원,강릉시,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.71,깨끗해요,85,,,,,,,,,,,,
캠핑,강릉노추산힐링캠프,51250,"1,154",132,강원,강릉시,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",4.71,화장실이 잘 되어있어요,83,,,,,,,,,,,,
캠핑,강릉여행굿캠핑,166500,181,98,강원,강릉시,"독채, 침대방, 온돌방, 개별바비큐, 단체, 2인실, 복층, 가족실, 체험활동, 신축, 와이파이, 바비큐장, 공용시설, 모던, 해수욕장, 수상레저, 바닷가",4.39,조용히 쉬기 좋아요,7,,,,,,,,,,,,
캠핑,강릉여행굿캠핑,166500,181,98,강원,강릉시,"독채, 침대방, 온돌방, 개별바비큐, 단체, 2인실, 복층, 가족실, 체험활동, 신축, 와이파이, 바비큐장, 공용시설, 모던, 해수욕장, 수상레저, 바닷가",4.39,깨끗해요,4,,,,,,,,,,,,
캠핑,강릉여행굿캠핑,166500,181,98,강원,강릉시,"독채, 침대방, 온돌방, 개별바비큐, 단체, 2인실, 복층, 가족실, 체험활동, 신축, 와이파이, 바비큐장, 공용시설, 모던, 해수욕장, 수상레저, 바닷가",4.39,공용시설 관리가 잘돼요,4,,,,,,,,,,,,
캠핑,강릉여행굿캠핑,166500,181,98,강원,강릉시,"독채, 침대방, 온돌방, 개별바비큐, 단체, 2인실, 복층, 가족실, 체험활동, 신축, 와이파이, 바비큐장, 공용시설, 모던, 해수욕장, 수상레저, 바닷가",4.39,바비큐 해먹기 좋아요 ,3,,,,,,,,,,,,
캠핑,강릉여행굿캠핑,166500,181,98,강원,강릉시,"독채, 침대방, 온돌방, 개별바비큐, 단체, 2인실, 복층, 가족실, 체험활동, 신축, 와이파이, 바비큐장, 공용시설, 모던, 해수욕장, 수상레저, 바닷가",4.39,주차하기 편해요,3,,,,,,,,,,,,
캠핑,강변글램핑,70000,163,42,경기,김포시,"독채, 단체, 개별바비큐, 글램핑, 반려동물, 공용시설, 신축, 데크, 바비큐장",,깨끗해요,101,,,,,,,,,,,,
캠핑,강변글램핑,70000,163,42,경기,김포시,"독채, 단체, 개별바비큐, 글램핑, 반려동물, 공용시설, 신축, 데크, 바비큐장",,화장실이 잘 되어있어요,81,,,,,,,,,,,,
캠핑,강변글램핑,70000,163,42,경기,김포시,"독채, 단체, 개별바비큐, 글램핑, 반려동물, 공용시설, 신축, 데크, 바비큐장",,바비큐 해먹기 좋아요 ,73,,,,,,,,,,,,
캠핑,강변글램핑,70000,163,42,경기,김포시,"독채, 단체, 개별바비큐, 글램핑, 반려동물, 공용시설, 신축, 데크, 바비큐장",,공용시설 관리가 잘돼요,70,,,,,,,,,,,,
캠핑,강변글램핑,70000,163,42,경기,김포시,"독채, 단체, 개별바비큐, 글램핑, 반려동물, 공용시설, 신축, 데크, 바비큐장",,주차하기 편해요,64,,,,,,,,,,,,
캠핑,강천산캠핑,115000,22,3,전북,순창군,,3.82,,,,,,,,,,,,,,
